0.002008, 0.002066
0.002075, 0.002081
0.002087, 0.002094
0.002100, 0.002106
0.002112, 0.002118
0.002123, 0.002129
0.002135, 0.002141
0.002147, 0.002153
0.002158, 0.002165
0.002170, 0.002176
0.002182, 0.002188
0.002194, 0.002200
0.002206, 0.002213
0.002218, 0.002224
0.002232, 0.002238
0.002244, 0.002249
0.002255, 0.002261
0.002267, 0.002272
0.002284, 0.002291
0.002297, 0.002302
0.002308, 0.002313
0.002319, 0.002324
0.002330, 0.002335
0.002341, 0.002348
0.002354, 0.002365
0.002371, 0.002379
0.002388, 0.002394
0.002404, 0.002409
0.002421, 0.002427
0.002437, 0.002442
0.002497, 0.002505
0.002512, 0.002519
0.002527, 0.002534
0.002541, 0.002551
0.002590, 0.002595
0.002601, 0.002607
0.002614, 0.002619
0.002630, 0.002872
0.002880, 0.002887
0.002895, 0.002904
0.002929, 0.002936
0.002961, 0.002968
0.002992, 0.002998
